number,name,gender,score,major,class_code
2021902246,yfyoi,女,69.2,物联网,2021240401
2021902275,fsqku,女,82.56,计算机科学与技术,2021240101
2021902311,perot,男,79.98,物联网,2021240402
2021902328,ffvgy,男,99.2,计算机科学与技术（卓越工程师）,2021240201
2021902337,yzkup,男,81.36,软件工程,2021240302
2021902426,svktk,女,82.66,计算机科学与技术（卓越工程师）,2021240202
2021902472,cffxn,男,86.74,计算机科学与技术（卓越工程师）,2021240201
2021902490,ccxho,女,62.37,NULL,0
2021902508,fzgzi,男,91.28,软件工程,2021240302
2021902515,zrgsx,男,78.5,计算机科学与技术（卓越工程师）,2021240202
2021902581,zxqtv,男,66.12,物联网,2021240402
2021902595,uvdya,女,77.74,软件工程,2021240301
2021902673,mrhdr,男,63.98,NULL,0
2021902779,netrz,男,64.18,NULL,0
2021902802,gqgwm,男,75.4,计算机科学与技术（卓越工程师）,2021240201
2021902808,rcyky,女,93.73,计算机科学与技术,2021240101
2021902811,fvbed,女,71.09,物联网,2021240402
2021902844,thvim,女,99.87,计算机科学与技术（卓越工程师）,2021240202
2021902884,zreos,男,71.65,软件工程,2021240301
2021902922,vcjhc,女,88.94,物联网,2021240401
2021902947,ardka,男,94.49,计算机科学与技术（卓越工程师）,2021240201
2021903003,rvleg,女,77.81,计算机科学与技术,2021240101
2021903029,dalkf,男,97.9,物联网,2021240401
2021903035,ykadc,女,98.24,软件工程,2021240301
2021903114,ewide,男,99.35,NULL,0
2021903153,zwkmk,女,97.67,计算机科学与技术（卓越工程师）,2021240201
2021903159,xkxju,男,66.92,物联网,2021240401
2021903160,ojtwi,男,82.73,计算机科学与技术（卓越工程师）,2021240201
2021903181,uyurr,女,90.12,软件工程,2021240301
2021903228,kwjvz,男,86.05,物联网,2021240402
2021903269,azazu,女,78.16,计算机科学与技术,2021240101
2021903315,ruwzn,男,91.5,软件工程,2021240302
2021903351,nlqdp,男,77.87,计算机科学与技术（卓越工程师）,2021240202
2021903359,bxrvh,女,65.4,NULL,0
2021903405,iifuh,男,93.02,物联网,2021240401
2021903432,inebn,女,89.38,计算机科学与技术,2021240102
2021903457,ipfdf,男,76.68,计算机科学与技术,2021240101
2021903484,ifhca,女,71.22,软件工程,2021240301
2021903518,ooknv,男,94.12,软件工程,2021240301
2021903534,grvmf,女,73.66,物联网,2021240401
2021903621,xhejf,男,99.18,软件工程,2021240302
2021903692,zmtno,女,96.44,软件工程,2021240302
2021903721,xbwra,女,88.17,计算机科学与技术（卓越工程师）,2021240202
2021903733,adchm,男,94.13,计算机科学与技术,2021240101
2021903734,turjp,女,88.03,软件工程,2021240301
2021903811,ukybl,女,97.09,计算机科学与技术,2021240101
2021903877,lphqr,女,82.92,物联网,2021240401
2021903906,kabnn,女,80.8,计算机科学与技术（卓越工程师）,2021240201
2021903976,opezs,女,81.62,物联网,2021240402
2021903986,rgusz,男,92.31,物联网,2021240401
2021904008,cxxpk,男,79.36,计算机科学与技术,2021240102
2021904053,zsyzw,女,76.21,软件工程,2021240302
2021904117,zqgup,男,73.88,计算机科学与技术（卓越工程师）,2021240202
2021904145,doezr,女,75.16,计算机科学与技术（卓越工程师）,2021240201
2021904155,covzy,男,65.87,NULL,0
2021904165,nskzy,男,65.09,NULL,0
2021904194,vqumt,男,69.1,物联网,2021240401
2021904197,afikb,女,65.4,NULL,0
2021904229,pxswo,男,70.86,软件工程,2021240301
2021904380,rznux,女,64.53,NULL,0
2021904398,tdwxq,女,97.75,计算机科学与技术（卓越工程师）,2021240201
2021904404,gxdgp,男,80.42,软件工程,2021240302
2021904442,dnhdq,男,81.01,计算机科学与技术（卓越工程师）,2021240201
2021904444,hbdpo,女,76.24,计算机科学与技术,2021240102
2021904467,xhlio,女,94.09,软件工程,2021240302
2021904470,ahunr,男,62.02,NULL,0
2021904475,uuvmm,男,82.49,计算机科学与技术,2021240101
2021904477,kdcpt,男,70.15,物联网,2021240402
2021904478,qbgwq,男,86.82,计算机科学与技术（卓越工程师）,2021240201
2021904558,imxfk,男,61.48,NULL,0
2021904563,ejqew,女,93.58,物联网,2021240402
2021904572,pfdsz,女,98.82,软件工程,2021240302
2021904615,babrj,女,67.77,物联网,2021240401
2021904631,mldtr,男,87.64,计算机科学与技术,2021240101
2021904665,ynbym,男,97.16,计算机科学与技术,2021240101
2021904671,kixcu,男,96.1,计算机科学与技术（卓越工程师）,2021240202
2021904707,ullwj,女,96.66,计算机科学与技术,2021240101
2021904730,yiksg,女,60.27,NULL,0
2021904737,zgdha,女,97.48,软件工程,2021240301
2021904743,xxasu,女,93.48,软件工程,2021240301
2021904759,hhcww,男,61.13,NULL,0
2021904773,qnkvz,男,95.33,物联网,2021240401
2021904804,mxxre,男,78.69,物联网,2021240401
2021904875,qwhhw,男,80.78,软件工程,2021240302
2021904955,opcre,男,96.77,NULL,0
2021905085,amtgt,女,93.3,物联网,2021240402
2021905148,mwkly,女,88.79,软件工程,2021240302
2021905149,elwvv,女,98.87,计算机科学与技术,2021240102
2021905172,iffxk,女,66.04,NULL,0
2021905179,dqxzk,男,71.13,物联网,2021240401
2021905288,qxlyt,女,72.82,计算机科学与技术（卓越工程师）,2021240202
2021905305,olytm,男,78.18,计算机科学与技术,2021240101
2021905327,kyrev,女,74.65,计算机科学与技术（卓越工程师）,2021240202
2021905370,dbnal,男,62.42,NULL,0
2021905406,qeyll,男,72.06,NULL,0
2021905409,awvqx,男,90.85,物联网,2021240402
2021905419,humxc,女,80.55,计算机科学与技术（卓越工程师）,2021240201
2021905435,nxaaa,女,72.97,软件工程,2021240302
2021905478,hwcfk,男,95.73,软件工程,2021240301
2021905510,kjvyd,女,87.1,物联网,2021240401
2021905528,rjoow,男,82.55,软件工程,2021240301
2021905542,avjrh,女,75.21,计算机科学与技术（卓越工程师）,2021240201
2021905546,nmtai,男,61.21,NULL,0
2021905573,hrpar,女,74.12,NULL,0
2021905681,dkvrf,男,63.84,NULL,0
2021905694,ssgzs,男,68.44,计算机科学与技术（卓越工程师）,2021240202
2021905703,vztby,女,65.33,NULL,0
2021905714,gezrd,女,69.6,计算机科学与技术（卓越工程师）,2021240201
2021905724,stkkq,男,69.01,计算机科学与技术（卓越工程师）,2021240201
2021905743,otjcn,男,94.74,软件工程,2021240302
2021905841,fyner,女,80.52,计算机科学与技术（卓越工程师）,2021240201
2021905849,nsnrk,男,71.43,软件工程,2021240301
2021905876,asxdw,女,86.6,计算机科学与技术（卓越工程师）,2021240201
2021905903,xsmcn,女,95.19,计算机科学与技术,2021240102
2021905932,gdaga,男,68.99,计算机科学与技术（卓越工程师）,2021240202
2021905937,etyrh,女,84.43,计算机科学与技术,2021240101
2021906012,tvhlc,男,88.64,软件工程,2021240301
2021906060,mcocy,男,77.09,软件工程,2021240301
2021906065,ljrqw,男,70.17,计算机科学与技术（卓越工程师）,2021240202
2021906089,otdox,女,81.56,软件工程,2021240301
2021906161,erili,男,99.34,计算机科学与技术（卓越工程师）,2021240202
2021906181,micss,男,70.43,计算机科学与技术（卓越工程师）,2021240201
2021906297,pzrmk,男,76.92,计算机科学与技术（卓越工程师）,2021240201
2021906313,tlaop,男,71.07,NULL,0
2021906389,ihxdm,男,71.27,计算机科学与技术（卓越工程师）,2021240202
2021906392,auauy,女,74.32,计算机科学与技术,2021240101
2021906405,jlcpu,男,66.37,物联网,2021240401
2021906413,csygf,男,71.32,软件工程,2021240302
2021906432,drsdr,女,86.29,物联网,2021240402
2021906473,yarbf,男,80.86,软件工程,2021240302
2021906510,vkuzn,女,76.37,软件工程,2021240302
2021906549,jccbv,男,88.17,计算机科学与技术（卓越工程师）,2021240201
2021906563,gjrou,女,92.4,计算机科学与技术（卓越工程师）,2021240201
2021906690,kieua,女,87.19,软件工程,2021240302
2021906735,oirle,男,98.63,物联网,2021240401
2021906883,dvvru,女,94.2,物联网,2021240402
2021906895,vghbt,女,99.81,计算机科学与技术（卓越工程师）,2021240201
2021906929,qsbqj,男,88.93,软件工程,2021240302
2021906951,etnnh,女,87.0,计算机科学与技术,2021240101
2021906960,gopzi,男,82.17,计算机科学与技术,2021240102
2021906984,pzqme,女,88.43,计算机科学与技术,2021240101
2021907017,flnef,女,68.32,计算机科学与技术（卓越工程师）,2021240201
2021907051,jeirs,男,72.45,计算机科学与技术（卓越工程师）,2021240202
2021907062,zbmfl,男,93.54,计算机科学与技术,2021240102
2021907067,xugny,女,83.55,NULL,0
2021907125,ramqf,女,73.01,计算机科学与技术,2021240101
2021907194,ndyuy,男,79.27,软件工程,2021240301
2021907207,irpid,女,85.8,计算机科学与技术（卓越工程师）,2021240202
2021907246,tcbfs,男,98.41,计算机科学与技术,2021240101
2021907282,hvmbb,女,86.72,计算机科学与技术（卓越工程师）,2021240201
2021907300,ysqzk,女,79.54,计算机科学与技术,2021240102
2021907328,itolz,男,69.06,计算机科学与技术（卓越工程师）,2021240202
2021907412,ufajl,女,98.29,计算机科学与技术（卓越工程师）,2021240202
2021907447,yduof,女,79.42,计算机科学与技术（卓越工程师）,2021240202
2021907448,qbmda,男,76.02,物联网,2021240401
2021907467,dxxev,男,82.75,计算机科学与技术（卓越工程师）,2021240202
2021907520,dljlb,女,67.62,物联网,2021240401
2021907635,ohubq,男,77.81,软件工程,2021240301
2021907640,afikk,女,86.86,计算机科学与技术（卓越工程师）,2021240201
2021907665,oqndv,男,76.94,物联网,2021240401
2021907718,kcbgb,女,60.22,NULL,0
2021907737,dalis,女,72.07,软件工程,2021240302
2021907779,gatgq,男,71.3,物联网,2021240401
2021907785,pxjsv,男,70.78,计算机科学与技术（卓越工程师）,2021240202
2021907822,bpmbm,男,90.37,物联网,2021240401
2021907851,qfjix,女,83.63,物联网,2021240401
2021907920,meoht,男,69.48,计算机科学与技术,2021240101
2021907963,yrimi,女,95.64,计算机科学与技术（卓越工程师）,2021240201
2021907967,sqkqd,女,85.44,计算机科学与技术（卓越工程师）,2021240201
2021908006,boqno,女,83.95,计算机科学与技术（卓越工程师）,2021240202
2021908014,nrzvx,女,89.7,计算机科学与技术（卓越工程师）,2021240202
2021908030,fbfwl,女,82.91,计算机科学与技术,2021240101
2021908052,tpmsx,女,61.38,NULL,0
2021908077,affyl,男,88.48,物联网,2021240401
2021908109,oseow,男,71.83,软件工程,2021240301
2021908111,tpbqt,男,69.35,计算机科学与技术,2021240101
2021908121,lqcps,女,95.26,软件工程,2021240301
2021908137,zwnrt,男,79.24,计算机科学与技术,2021240101
2021908185,cuuql,男,83.15,物联网,2021240401
2021908213,gbnkm,女,63.05,NULL,0
2021908224,uefdp,女,80.11,软件工程,2021240301
2021908292,klcik,女,81.81,计算机科学与技术（卓越工程师）,2021240201
2021908307,xambh,男,71.11,物联网,2021240401
2021908325,felce,女,94.26,计算机科学与技术,2021240102
2021908390,iwnog,女,66.29,物联网,2021240401
2021908411,gtetz,女,96.13,计算机科学与技术（卓越工程师）,2021240202
2021908433,dxikn,男,74.87,计算机科学与技术,2021240102
2021908474,ynaio,男,71.79,软件工程,2021240302
2021908486,xxwgs,女,76.48,计算机科学与技术,2021240102
2021908492,lqnei,女,62.85,NULL,0
2021908526,bmkuh,女,94.52,NULL,0
2021908623,klumf,男,73.43,计算机科学与技术,2021240102
2021908655,fdsth,女,93.99,计算机科学与技术（卓越工程师）,2021240201
2021908690,evdpa,女,69.14,计算机科学与技术,2021240102
2021908749,opkrj,女,88.38,软件工程,2021240302
2021908766,wykuy,男,99.48,物联网,2021240401
2021908789,hozpz,男,76.42,软件工程,2021240302
2021908818,nbhic,女,73.08,计算机科学与技术（卓越工程师）,2021240202
2021908833,agjgk,女,83.93,计算机科学与技术（卓越工程师）,2021240201
2021908854,jdhdg,男,62.85,NULL,0
2021909012,kibsj,男,60.89,NULL,0
2021909022,pxbpq,男,63.61,NULL,0
2021909053,ratij,男,65.39,NULL,0
2021909072,wlyeu,女,82.11,物联网,2021240402
2021909075,utchv,男,63.9,NULL,0
2021909119,tpolt,女,71.6,计算机科学与技术（卓越工程师）,2021240201
2021909133,qynla,女,90.87,软件工程,2021240302
2021909159,bsgqg,男,60.58,NULL,0
2021909178,dfhvq,男,71.83,物联网,2021240401
2021909195,fxvts,男,86.17,物联网,2021240401
2021909199,evidn,女,68.49,物联网,2021240402
2021909242,nlfbn,女,69.68,计算机科学与技术,2021240102
2021909254,jhfxx,女,82.14,计算机科学与技术,2021240101
2021909258,owjxr,男,74.96,计算机科学与技术,2021240102
2021909262,ixjln,男,77.39,软件工程,2021240301
2021909281,lqrpa,女,61.21,NULL,0
2021909304,lbdjp,女,66.34,物联网,2021240402
2021909306,hnfyp,男,67.61,计算机科学与技术（卓越工程师）,2021240201
2021909341,ltwmt,女,92.43,软件工程,2021240301
2021909349,rnlvg,女,63.94,NULL,0
2021909374,chrqg,男,83.14,计算机科学与技术（卓越工程师）,2021240202
2021909401,xxkgq,女,91.01,计算机科学与技术,2021240101
2021909414,afgfc,女,82.79,软件工程,2021240301
2021909493,fzplv,女,64.32,NULL,0
2021909496,fhfyx,女,71.84,软件工程,2021240302
2021909529,taaht,男,74.68,计算机科学与技术,2021240101
2021909543,mkfxa,男,73.24,计算机科学与技术,2021240101
2021909607,mcpjp,女,66.16,物联网,2021240402
2021909634,gxehw,男,98.87,计算机科学与技术（卓越工程师）,2021240201
2021909652,vnavw,男,64.55,NULL,0
2021909759,lpwbm,男,85.41,NULL,0
2021909787,fewnz,女,68.8,计算机科学与技术（卓越工程师）,2021240202
2021909846,kwplz,男,66.7,物联网,2021240402
2021909847,smalp,男,90.32,物联网,2021240402
2021909872,aiwit,女,65.48,NULL,0
2021909873,farsx,女,97.18,物联网,2021240401
2021909890,lhizh,女,70.47,计算机科学与技术（卓越工程师）,2021240201
2021909929,njuri,男,85.64,NULL,0
2021909968,itxiz,男,65.62,NULL,0
